gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,1.201650693269026,0.18070337187788857,0.7216483932842968,0.7126203932618848,0.4760806889396214,0.5726246520075633
A1BG-AS1,6.768256361457735,-0.08892064549875939,0.5304134302462138,-0.24033118977777404,0.8100735174915119,0.8606378180335292
A1CF,5.196974615567318,0.31769779910972346,0.6955095851070255,0.8993122978073887,0.36848633876434067,0.46556296406023356
A2M,1.8887905915656455,0.011897699530521373,0.6444878269657165,0.036989482889870536,0.9704933914412035,0.9804956569842089
A2M-AS1,6.021167802070014,0.13718721767892902,0.5657713484820718,0.3700110732035196,0.7113742398090863,0.7833205273780485
A4GALT,80.86290883768791,-0.8634019445660749,0.21707401486254868,-4.158613183570033,3.201855729319452e-05,8.57140815996284e-05
A4GNT,1.0733137784072007,-0.5130101015638817,0.9518717169721963,-1.3689247566593052,0.17102279622539363,0.24415886106911333
AAAS,2417.701641864855,-0.8139441348160585,0.04512120414128101,-18.084922323386436,4.18957655615946e-73,9.968302840517336e-72
AACS,776.10834873574,0.40582848692057255,0.0713805682080349,5.715293577084598,1.0951478856279316e-08,3.953705904948452e-08
AACSP1,2.415524844668516,-0.49781784720764977,0.8142693330833938,-1.3369699246415812,0.18123245417858935,0.2566013544115458
AADAT,491.9182276646259,-0.47873179938206023,0.09279214241804228,-5.194552362751374,2.0521300977147412e-07,6.709432264196666e-07
AAED1,206.8953011076279,-0.5913540263419408,0.13054135239925366,-4.596060185451664,4.305543817998428e-06,1.2603819272768954e-05
AAGAB,4719.258531817988,-0.06010375489695619,0.047989776701225874,-1.2196598289144158,0.22259385585914948,0.3053481620516268
AAK1,726.7682981404863,0.09736361602937557,0.07291597767509057,1.342948123371837,0.17928877230799223,0.25424062933895797
AAMDC,171.136756741054,-0.009534938347030024,0.13563324860778295,-0.07158827140671999,0.9429295741878015,0.9619240897277148
AAMP,3207.018625255733,0.07100995915867009,0.05262495403517984,1.3522867279673048,0.17628360846516944,0.25064450555363665
AANAT,8.577445210706811,1.2995520590661593,0.6927273474172067,2.5361779121235117,0.011206978203860997,0.021212431027081737
AAR2,1953.808538468859,0.5410975223615961,0.04971815262321946,10.908115000017629,1.0541957036757094e-27,9.192986231105712e-27
AARD,1.2422089273213939,-0.047874364236178246,0.6723289772937324,-0.1704177724787156,0.8646815961614676,0.9016514849464078
AARS,2317.6484358825865,-0.6675023861249487,0.05024984341273239,-13.337521005294201,1.400393570756792e-40,1.7423379062158135e-39
AARS2,569.5014242342643,0.06403421503892608,0.08123419549187737,0.7930011938489422,0.4277771272182507,0.5251678572714235
AARSD1,434.8661867648958,-0.12909983357872137,0.09100160701363907,-1.4305567872757265,0.15255727966739424,0.22143470517065902
AASDH,202.6691464781973,-0.22404823613128588,0.12639557946643276,-1.7977359558103572,0.0722188606469486,0.11490625790867302
AASDHPPT,1831.6347954218259,-0.018050443088083224,0.051830656033619596,-0.37256253044222776,0.7094740645358254,0.7815919710426602
AASS,506.77803793099116,-1.9782885582542376,0.11009899814496957,-18.06680655790038,5.818566665910216e-73,1.3804507734595013e-71
AATF,2823.8890418382252,-0.6742240806278604,0.05612217466877945,-12.053753064253183,1.8531578438685575e-33,1.9049220294514783e-32
AATK,50.0790553776653,-0.23794370703131248,0.30888445263640074,-0.8512124773537882,0.39465133289892196,0.49223665532922706
ABAT,752.2709160150808,-2.443519110929898,0.10998512603120006,-22.3122054914754,2.812796990592265e-110,1.1116925576183271e-108
ABCA1,16.895273957356707,0.06500540758490062,0.3974374850948791,0.1919060727889658,0.8478157804618387,0.8889343626977364
ABCA10,2.385107944552156,0.8036419488305473,1.0245125786859752,1.7502042316069901,0.08008307891386753,0.12599047946168024
ABCA11P,140.2427950991689,0.6548892140913829,0.1511822177888063,4.430762426982824,9.39004959545084e-06,2.665853271055476e-05
ABCA12,4.0808638643144315,0.38838423567385305,0.6609447300287937,0.9968761052355009,0.3188246513422317,0.41357914541772683
ABCA13,2.6804560705789857,0.3003232096301866,0.6720823434097082,0.8319386091683576,0.40544359745145786,0.5033092933880167
ABCA17P,1.2936441862095387,-0.23799119234523328,0.7431367802306145,-0.8736987867734414,0.3822823118351264,0.47951788244127347
ABCA2,3195.2604812414556,-0.4893733496834193,0.059664767840993504,-8.232471938446706,1.8338911845498399e-16,1.0225332665368804e-15
ABCA3,70.75672048907947,0.9463808049259392,0.22720482417158167,4.3636369644015485,1.2791779031533792e-05,3.5776365607532446e-05
ABCA4,12.820749493999841,-3.8353388228623184,0.9144212989262447,-4.471005749122653,7.785260530366434e-06,2.2289750066194355e-05
ABCA5,324.11699461039194,0.8419459242247145,0.1403500919530706,6.110963841467365,9.903120408981122e-10,3.828990753507527e-09
ABCA7,350.2645887982869,1.7299192456150454,0.13986832870015178,12.51197850230085,6.420485189495697e-36,7.041273823711837e-35
ABCA9,1.889319610290413,-0.19166746000978188,0.6683422860038012,-0.5871984589532812,0.557070427247526,0.6483754761891362
ABCB1,227.1250703700887,-0.8217442191040089,0.1435855201883096,-5.8362410079487,5.339165054189973e-09,1.9687502404227556e-08
ABCB10,451.6010961334862,0.3177726843454253,0.08704232033170539,3.688579655637288,0.00022550942732602159,0.0005475712780819527
ABCB4,342.85496901029717,-2.682260843360663,0.16327182035651389,-16.53784974764743,1.9589077296142015e-61,3.861846666953712e-60
ABCB6,505.06258476087066,-0.6362485064571343,0.08890592464286305,-7.213263814929549,5.462643411264396e-13,2.564824918926521e-12
ABCB7,3766.37688132872,0.23843428274331582,0.041289443809911536,5.76877796033236,7.984842639620818e-09,2.9080491337611776e-08
ABCB8,562.062033534155,-0.7738970571137278,0.09360264700399906,-8.334798677463427,7.763016890446896e-17,4.408626876056262e-16
ABCB9,499.84582895164044,0.6855663580344333,0.10806081066604224,6.41947618296653,1.3674404733547235e-10,5.599607873084624e-10
ABCC1,1892.5052283104617,-0.7054166213953972,0.05712312928490194,-12.385963915925007,3.1132167521506075e-35,3.354253052414708e-34
ABCC10,855.4232596708042,0.2241758155045944,0.08114554013343447,2.779005584622866,0.005452558767643181,0.010876219367883773
ABCC11,2.4643264465639607,-0.7175153045878145,1.2460736957257434,-1.7230509430273493,0.08487931302618867,0.1326467635055379
ABCC12,4.083424872180301,-0.44047370559905463,0.6743198060607557,-1.107867173702357,0.2679191842332779,0.35762870311970674
ABCC2,4.366125656431311,0.5401113223174022,0.6861179707040832,1.2897945366277008,0.19712200536001234,0.27544851985164154
ABCC3,2197.206978366372,0.14913953198019594,0.05784628090271867,2.587879376291994,0.009656879057735174,0.0184961736289723
ABCC4,1373.4640469438111,-0.49491611658978396,0.05971914347029084,-8.316138254576417,9.087580627824772e-17,5.137942478551663e-16
ABCC5,847.6087442224548,0.12399557634337545,0.06650615734273015,1.8717033960755494,0.06124764945172584,0.09915544773883858
ABCC6,63.67127993534481,-1.8533538559337057,0.26535609104401064,-7.226361917711022,4.961045526616608e-13,2.3339464182037222e-12
ABCC6P1,33.91509742037736,-3.838610216395184,0.5404693783599407,-7.306713954900704,2.737544584918828e-13,1.3068243968364308e-12
ABCC6P2,21.044590102157454,-1.3833408332388069,0.430649453970439,-3.6284763683778207,0.00028509884108172446,0.0006839398534424681
ABCC8,12.48974607032241,-1.0307032467336414,0.7179267113142344,-2.0661572117381763,0.03881363757500737,0.06597083426481803
ABCC9,521.3153068463025,0.1026890305542818,0.0952536130633363,1.0865680501290083,0.2772277514488163,0.3682730277548851
ABCD1,806.018205904676,-1.2064344893052947,0.09766727870758804,-12.443105301719854,1.5245936207737649e-35,1.6566450367462957e-34
ABCD3,1863.7578233416773,0.24909597891422494,0.05102615694749177,4.89278979492859,9.94165728893233e-07,3.0818765388378773e-06
ABCD4,1108.5427748431548,-0.5767265999264042,0.06622771042971633,-8.754074208950108,2.0578566660112467e-18,1.266844103685734e-17
ABCE1,8624.880634918487,0.34662803652638896,0.04602198932614982,7.541799552034678,4.635298672596168e-14,2.3134582886736747e-13
ABCF1,168.3453428474612,-0.005192810248122197,0.16924450137245767,-0.033159155599193677,0.973547669307049,0.9824953704456174
ABCF2,4661.854757407704,-0.46734724310101444,0.03756668897337583,-12.48838566942546,8.638875091154051e-36,9.449126255581974e-35
ABCF3,848.6033839145028,-0.14845873584937475,0.06523550112545864,-2.2842397722991494,0.022357443322570447,0.03994381933560973
ABCG1,77.37168623403073,-0.30965720694417886,0.46226901144510496,-0.8525522228841551,0.39390766703239966,0.49153123095897355
ABCG2,29.115224309664946,-0.08521723801149898,0.366653110791098,-0.2699790600253612,0.7871763633022044,0.8431850308075359
ABCG4,12.1688594598546,-0.6234314289069451,0.5560549299413813,-1.5143383395292833,0.12994004932018766,0.19282835214309862
ABHD1,20.054452076354274,-1.8390295275590567,0.4643647147308353,-4.388160401174425,1.1431345716095762e-05,3.213428705797756e-05
ABHD10,831.9956528748477,-0.09781769898228415,0.06879284407750268,-1.4284754572835383,0.15315505384395067,0.2221660556811338
ABHD11,5310.008777381783,-0.02888570443857139,0.06065340190159793,-0.42966142326725265,0.6674419490404482,0.7459164143750009
ABHD11-AS1,1.1142736392728005,-0.2982952051575709,0.7700565703004008,-1.0665761331635668,0.28616328267166624,0.3784128372628598
ABHD12,1641.4505739107024,0.42298516652917717,0.06279428189542373,6.76170850317521,1.3637387501752633e-11,5.939903656733919e-11
ABHD12B,841.5184882734632,-1.105313699572041,0.08922733282675115,-12.474705983809658,1.0258415094566176e-35,1.1198375343837566e-34
ABHD13,445.78891967922016,-0.2888676602071177,0.0905356738174527,-3.2081360804266708,0.0013359826877236652,0.0029361477516528065
ABHD14A,150.93443107767553,-0.06605819591837656,0.15748251020470042,-0.4303505916559056,0.6669406305117542,0.745496918074563
ABHD14A-ACY1,664.2217237100706,-0.034911471582582,0.07431808291060397,-0.4689011791916228,0.6391402734019644,0.7222712520497155
ABHD14B,2714.6516199365196,0.01865826357860901,0.05113968591969157,0.3448742467576389,0.730188912282516,0.7988853321484187
ABHD15,390.65237728833847,-0.628495472938809,0.10149023732246074,-6.259303801418729,3.8669989874519993e-10,1.537515083606365e-09
ABHD16A,1.8214125155864092,-0.04911920265598988,0.7959928265315555,-0.40110756398454067,0.6883409321339282,0.7636825975223981
ABHD16B,157.43789937160508,0.18985170996024806,0.18538454052868583,1.0569357063429163,0.2905409311690571,0.3835275430123294
ABHD2,4260.798046563182,0.5046158660697316,0.046826731217779305,10.77966742208948,4.294355794031316e-27,3.656274136203527e-26
ABHD3,612.5835796958642,-0.8365999308837931,0.08128915460472377,-10.35710216130603,3.8855575077701977e-25,3.099462058221314e-24
ABHD4,362.48497886438497,-0.9142417621165628,0.11116266243077477,-8.320875271526049,8.731609648497929e-17,4.943434385611135e-16
ABHD5,381.18997578639437,0.0643741202745641,0.09837604707555282,0.6593537763657746,0.5096686173093565,0.6051561126151104
ABHD6,735.8782775964065,-1.7186161282616597,0.08134001389778986,-21.207233607326252,8.188950373690583e-100,2.8609497508083556e-98
ABHD8,177.57447537468937,0.6664016793298019,0.16100768762262188,4.247645510010892,2.1602885474263497e-05,5.890725892537519e-05
ABI1,9393.526252632975,-0.05259707712111072,0.056267296608894686,-0.9441714657280157,0.3450820340729097,0.4410742886884366
ABI2,2866.707637951279,-0.3456005064079766,0.0429947957590032,-8.010359441174682,1.1437366774153897e-15,6.169472110097346e-15
ABI3BP,1.3243151446607047,0.25229724774266593,0.7222853745603873,0.846072494594015,0.3975123037629489,0.49516167423621593
ABL1,3114.2302679463546,0.29611628161404546,0.052122560881630746,5.695353202796029,1.2311677700250485e-08,4.4235492019125193e-08
ABL2,6298.263640612341,-0.5318010919197842,0.04952910541840916,-10.800192334174344,3.434833044913901e-27,2.9365428613203e-26
ABLIM1,39012.87740583797,-0.9079280317430822,0.040759768071744404,-22.18724794105917,4.560623302012733e-109,1.7812245726728978e-107
ABLIM2,756.8458131105863,-1.0813439684354516,0.08370080666920235,-13.002553834164907,1.1832483163491293e-38,1.3896873843079135e-37
ABLIM3,99.66386126492078,7.3596652256988975,0.6474557038410694,11.22580660595083,3.045942378200476e-29,2.769950894179016e-28
ABO,4.538637041313966,-0.14135480366612826,0.6174440904877244,-0.3986572626238552,0.6901457622815406,0.7652369483349389
ABP1,85.98379290739177,0.14370852267640047,0.20416079899951917,0.7312344146846838,0.4646359827326667,0.5622075021228234
ABR,14438.296159910884,0.47868171381108376,0.03171029349813263,15.108059551494893,1.4329771774597527e-51,2.2927634839356044e-50
ABRA,2.1378532744850465,-0.5722454736340431,1.0045253001343049,-1.4001703325258408,0.16146231763418217,0.23246530864389295
ABRACL,569.1720977042901,0.1250117258223786,0.09187148624624739,1.3627590684560076,0.17295845498807305,0.24655177882435134
