gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,1.201650693269026,0.060998306481121166,0.7038800949764895,0.22337378996621998,0.823244601577372,0.8642111316717136
A1BG-AS1,6.768256361457735,-0.2454394835166545,0.5478956136634405,-0.6339188965780089,0.5261337527072727,0.6106942556131237
A1CF,5.196974615567318,-0.43892496433879086,0.7291699888468198,-1.1267216772098192,0.25986017433669917,0.33942928592962124
A2M,1.8887905915656455,-0.10057092152627045,0.6553060690624705,-0.30035660567508216,0.7639051600585927,0.8172536630641705
A2M-AS1,6.021167802070014,-0.8388176666624944,0.7018154839559326,-1.7895928525876597,0.0735193883591616,0.11305423634763823
A4GALT,80.86290883768791,-1.0264914040713748,0.2156619459305456,-4.950793377796286,7.391154393567317e-07,2.1986261318030313e-06
A4GNT,1.0733137784072007,-0.41153524561213456,0.8722320195020458,-1.1068758681595936,0.2683476006326555,0.348837135291371
AAAS,2417.701641864855,-0.5062711075349237,0.04564844588152695,-11.115840149295062,1.0505706143202719e-28,9.171032879885979e-28
AACS,776.10834873574,0.4215511766360988,0.07129231090254415,5.944540043452603,2.7723419472094067e-09,9.843478268822422e-09
AACSP1,2.415524844668516,-0.3298480556392426,0.7336709197373613,-0.947380197178307,0.3434450782480145,0.42972803141572496
AADAT,491.9182276646259,-1.1284824696132636,0.0900191735110903,-12.624115155893426,1.554792528551711e-36,1.6983749520327396e-35
AAED1,206.8953011076279,-0.36791472182282825,0.1313905974049807,-2.848425191059469,0.004393618139635866,0.008604342052077808
AAGAB,4719.258531817988,0.08170718727055483,0.04810337039123247,1.6893051234013383,0.09116097205935808,0.13687783999482908
AAK1,726.7682981404863,0.05655568445248303,0.07258993104497354,0.7841549032595729,0.43294922296737326,0.5215420915355861
AAMDC,171.136756741054,0.1239764693052511,0.13677134835960375,0.9209213783285106,0.3570914762387666,0.44381066150934045
AAMP,3207.018625255733,0.0673566685700393,0.0525603962750424,1.2837802452483007,0.1992188575743089,0.27085913640644954
AANAT,8.577445210706811,0.6220009709962198,0.5569214942746561,1.4984851760401716,0.1340072412439217,0.1923515571638505
AAR2,1953.808538468859,0.21296622112243302,0.0487069252470309,4.380978356970368,1.1814760773922433e-05,3.147055467527031e-05
AARD,1.2422089273213939,0.1813231433713175,0.7199007832274144,0.6362949680759971,0.5245841840725005,0.6092799893561937
AARS,2317.6484358825865,-0.08803036409979255,0.05121595270879744,-1.7304657892007091,0.08354708840872302,0.12665138997148054
AARS2,569.5014242342643,-0.050699201418380524,0.08049026641561438,-0.6330032380653045,0.5267315284413443,0.6113024115907675
AARSD1,434.8661867648958,-0.01915132633794614,0.09142089912075674,-0.219807282062992,0.8260212480625755,0.8665766150089484
AASDH,202.6691464781973,-0.21998145270447816,0.12617888007167383,-1.769086932374385,0.07687936830446512,0.11767288526038291
AASDHPPT,1831.6347954218259,0.22107430826389357,0.052384936689953684,4.226999921711373,2.368277499370732e-05,6.118139771616483e-05
AASS,506.77803793099116,-1.8140692533497358,0.11046790074486121,-16.52108884343856,2.5868543471525314e-61,4.7651065616068875e-60
AATF,2823.8890418382252,-0.05706751167606272,0.05680180941356694,-0.9956949838133676,0.3193983681037519,0.40437591558089686
AATK,50.0790553776653,-0.5640077741520574,0.3163071333903814,-1.9670759555465964,0.04917445478953287,0.07882382841106034
ABAT,752.2709160150808,-2.2116398570278113,0.11030307636306035,-20.147090291678058,2.8540381723970917e-90,8.262739883723049e-89
ABCA1,16.895273957356707,-0.7846595063570273,0.42234479697607463,-2.1848815495823257,0.02889753265565314,0.04879110326036052
ABCA10,2.385107944552156,0.6864075529194228,0.9077898607310697,1.5644829759234404,0.11770418788182224,0.17188548071631182
ABCA11P,140.2427950991689,0.7028546919078433,0.15146328792488897,4.743756467445389,2.0979104068173636e-06,6.001277653635437e-06
ABCA12,4.0808638643144315,0.08170250005919735,0.5854738273607176,0.2156909309671755,0.8292286708756443,0.8688406700221872
ABCA13,2.6804560705789857,0.25213932374971,0.660881581840078,0.6862608558730553,0.4925486283672581,0.578975389392518
ABCA17P,1.2936441862095387,-0.39504515087616743,0.8357547124965331,-1.2785952615384735,0.20103961946735338,0.27284183727088773
ABCA2,3195.2604812414556,-0.4796921615090711,0.05957829246378177,-8.04790696769132,8.422192853783748e-16,4.385896655932668e-15
ABCA3,70.75672048907947,0.4478550255828464,0.21252579460194898,2.2002972689469633,0.027785810932751714,0.04708206579825728
ABCA4,12.820749493999841,-3.7134350421324203,0.9155125394611321,-4.348339502807837,1.371721469952756e-05,3.6298669770561905e-05
ABCA5,324.11699461039194,0.5985478193667014,0.1378447483802378,4.422825632527596,9.741836214765868e-06,2.6223148198394467e-05
ABCA7,350.2645887982869,1.2220350500694883,0.13510535451206895,9.174708674390295,4.5279713159528226e-20,2.8445828904468415e-19
ABCA9,1.889319610290413,-0.11956626127585264,0.66698661868802,-0.3627525289937205,0.7167897561046326,0.77780213361462
ABCB1,227.1250703700887,-1.9444167616656118,0.13685706852516008,-14.337110451121529,1.2828657385331905e-46,1.7927642725830916e-45
ABCB10,451.6010961334862,0.7784389395143338,0.09027385573358886,8.68941496614391,3.6431065662769395e-18,2.1280368514125615e-17
ABCB4,342.85496901029717,-3.845566468024369,0.15920865226027026,-24.23122163291014,1.0432040928146601e-129,4.839064363308339e-128
ABCB6,505.06258476087066,-0.7204985262351871,0.088415981398822,-8.198375254178176,2.4365773350875545e-16,1.3016038925499968e-15
ABCB7,3766.37688132872,0.5032706319820017,0.04172221202400995,12.075453979992446,1.4237629944666214e-33,1.438530517899161e-32
ABCB8,562.062033534155,-0.911402269388686,0.09298633457085813,-9.878971368312357,5.1357368092012627e-23,3.6376305201186017e-22
ABCB9,499.84582895164044,0.5505827357658067,0.10685351606039678,5.208456065642817,1.9041842500590208e-07,5.95867180290578e-07
ABCC1,1892.5052283104617,-0.7034824337778066,0.057050453526980904,-12.362279110017981,4.1813117863569245e-35,4.399143785392037e-34
ABCC10,855.4232596708042,0.030712238334445016,0.08023495480682485,0.3752897640333975,0.7074449779017687,0.7698666515786753
ABCC11,2.4643264465639607,-0.827076846063137,1.4531928067195063,-1.781980349767673,0.07475243622487447,0.11479046215540813
ABCC12,4.083424872180301,-0.18912906237678465,0.6160633130605386,-0.50589964609335,0.612927100779098,0.6880315390408278
ABCC2,4.366125656431311,0.42553649601685056,0.6398467607607703,1.0416949747865463,0.2975531195690725,0.3807061469569528
ABCC3,2197.206978366372,0.5432176303217264,0.05863026292681893,9.283743269090268,1.636266795212941e-20,1.0470084284670132e-19
ABCC4,1373.4640469438111,0.02154673370773449,0.06095146955274019,0.3550100421555201,0.7225820680734769,0.7824979758891432
ABCC5,847.6087442224548,-0.08789882822328399,0.06547996111616447,-1.3481868490325386,0.17759829331176114,0.24539238525179513
ABCC6,63.67127993534481,-1.9666415411324922,0.2637050590614788,-7.690142288590316,1.4697148408562166e-14,7.12484712077838e-14
ABCC6P1,33.91509742037736,-3.5246886129228816,0.5430530717661953,-6.722580629008245,1.7853388416354414e-11,7.298250115399385e-11
ABCC6P2,21.044590102157454,-1.2272782589618885,0.43020422644729545,-3.2517258336025017,0.0011470660943851583,0.002442197804450787
ABCC8,12.48974607032241,-3.2709101184538145,0.6971434829254065,-5.070955093735709,3.958241724273647e-07,1.2073767351993294e-06
ABCC9,521.3153068463025,-0.15786989602682533,0.09387223069575366,-1.7047447658639483,0.0882420369077688,0.1329773529158842
ABCD1,806.018205904676,-1.3075509207820124,0.0972646161921921,-13.539579757335787,9.1309783653257e-42,1.1403393795610378e-40
ABCD3,1863.7578233416773,0.39106088730892025,0.05134976052209957,7.632518062978037,2.302121876978985e-14,1.1037388037861028e-13
ABCD4,1108.5427748431548,-0.48213641625398623,0.06636088028790225,-7.30076592657668,2.8613415997472255e-13,1.291464074456638e-12
ABCE1,8624.880634918487,0.676865455060569,0.04627369635173487,14.613254728294407,2.3120349090845756e-48,3.3526530730683513e-47
ABCF1,168.3453428474612,0.353504167582232,0.1730902846522198,2.099325589251013,0.03578820917139813,0.059135176998438746
ABCF2,4661.854757407704,-0.0008749578375333166,0.0381445078471685,-0.02416597732344294,0.9807202163629805,0.9856006058363246
ABCF3,848.6033839145028,-0.21032140500476532,0.06488133201611512,-3.2544899575246045,0.0011359617632326793,0.002420422902616208
ABCG1,77.37168623403073,-0.8818563757428729,0.5345544008851809,-2.114727168768708,0.03445320738290803,0.057197505189068375
ABCG2,29.115224309664946,-0.6842619835840917,0.389488030698347,-2.0321667691379584,0.04213677580872618,0.06850432038017921
ABCG4,12.1688594598546,-1.953315325230181,0.6050323813625681,-3.76236440482059,0.0001683145662855318,0.0003968236357756843
