gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,1.201650693269026,0.01649006593623844,0.2570529418222557,0.4983690467473085,0.6182239494979183,
A1BG-AS1,6.768256361457734,0.03249542481191043,0.24581152045315752,0.3941555874115853,0.693466173066414,0.8011925650154673
A1CF,5.196974615567317,0.11533436527778058,0.29125795627606166,1.984180573796547,0.047235713357073064,0.10402261868355146
A2M,1.8887905915656455,0.01716423154143868,0.2537882723752591,0.336916479033315,0.7361798623894402,
A2M-AS1,6.021167802070014,0.22052581820888284,0.3840458459300359,2.1308777006509474,0.03309921892693187,0.07713918385900022
A4GALT,80.8629088376879,0.10469805213863786,0.1649251088287097,0.809342323619445,0.4183182678873474,0.569739909699683
A4GNT,1.0733137784072002,-0.013516601490075783,0.2782592958713247,-0.3607346474921637,0.718297821278733,
AAAS,2417.7016418648545,-0.30252040792062346,0.04386275908806737,-7.01894627961972,2.2354770585219285e-12,3.110124906753612e-11
AACS,776.10834873574,-0.01561876865845359,0.07058156956736941,-0.21525441139627127,0.8295689708867098,0.8974547718931349
AACSP1,2.415524844668516,-0.022321427080019635,0.2538637857426053,-0.4222841627559024,0.6728176165076425,
AADAT,491.9182276646259,0.6350331967246925,0.08714466836540102,7.536505866360144,4.827312634805234e-14,7.850549306821942e-13
AAED1,206.89530110762786,-0.18903907303571707,0.12078531421529166,-1.7703160520545076,0.07667450548522876,0.1551469738481428
AAGAB,4719.258531817988,-0.13469310360532644,0.04762850931267367,-2.9073326840830025,0.003645252913101125,0.011576331588826134
AAK1,726.7682981404862,0.037802727142184266,0.07079968075256426,0.5606045139522532,0.5750671736333605,0.7094405663649652
AAMDC,171.136756741054,-0.10715654178292888,0.12569096589212206,-0.990882489309438,0.3217429637035809,0.47240663358322804
AAMP,3207.0186252557323,0.004686013053977687,0.05175373861607074,0.07012420885117003,0.9440947982527313,0.9697224123499277
AANAT,8.57744521070681,0.09890549109758115,0.2662847429576528,1.106573235343897,0.26847848434968713,0.41269371593906173
AAR2,1953.808538468859,0.3222818354201612,0.05031782208983806,6.531527445910676,6.510228879327683e-11,7.810271507845734e-10
AARD,1.2422089273213939,-0.030950214001990696,0.2581324833971799,-0.7982249435457728,0.4247399649068496,
AARS,2317.6484358825855,-0.5764744701520834,0.05021418765304165,-11.61254281863858,3.5587255721361183e-31,1.8562503017737427e-29
AARS2,569.5014242342643,0.10617378765750354,0.07847478478216678,1.4245669821643459,0.1542824100082521,0.27051022669912306
AARSD1,434.86618676489576,-0.09919525818060022,0.08718539390263398,-1.2122891942159095,0.22540169878355498,0.3618864416541408
AASDH,202.66914647819726,-0.003250596168734211,0.11302305992531099,-0.03314349544230336,0.9735601574402716,0.9863120741290327
AASDHPPT,1831.6347954218254,-0.233740759881321,0.05228444768981618,-4.585572743197289,4.527436059636274e-06,2.6837663544693015e-05
AASS,506.77803793099093,-0.1464531880239793,0.09200608654269352,-1.709853549937371,0.08729295773098174,0.17252831944904212
AATF,2823.8890418382252,-0.6127025199380958,0.05613052163638639,-11.083796797353784,1.5035825389239753e-28,6.797064717987918e-27
AATK,50.0790553776653,0.15588457431444017,0.23372511505993548,1.1206119866322286,0.26245306051849937,0.4059121312818838
